chochoca	Chuchuqa.
choclo	Chuqllu.
chuño blanco	Muraya.
chuño, tunta	Tunta.
chupe de chuño	Chayru.
cicatriz	Siratu.
ciego	Ñawsa.
cielo, firmamento	Hanay pacha.
ciempiés	Pachak chaki.
cien	Pachak.
cigarra	Qisqis.
cilindro, recipiente	Tuquru.
cintura	Wiqaw.
círculo	Muyu.
claridad	Akchi.
clarificar	Chuyayachiy.
cobarde, tímido	Llaklla.
cobre	Anta.
cocer cereales	Patay.
cocido	Chayasqa.
cocido a vapor	Pasi.
cocinar	Yanuy.
codo, ángulo	Kuchus.
codorniz	Yutu.
cojo	Wistu.
cola, rabo	Chupa.
collar	Wallqa.
color, pintura	Llimpi.
columpio	Wayllunku.
comadreja	Achuqalla.
combustible	Yanta.
comida, comer	Mikuy.
comprar	Rantiy.
comunidad, familia	Ayllu.
cóndor	Kuntur.
congelar, solidificarse	Tikayay.
congregarse, reunirse	Huñunakuy.
conjuntivitis	Wilkachuqa.
cono	Chuqu.
conocer	Riqsiy.
conocimiento, saber	Yachay.
contagiar	Ratay.
contaminación, suciedad	Qillichay.
contaminar	Qilliy.
contar	Yupay.
conversar	Rimay.
corazón	Sunqu.
cordel	Watu.
cordillera, puna	Sallqa.
cornetero	Waqra puku.
corona de flores	Pillu.
correr	Paway.
cortar papa en tajadas	Ikay.
cortar	Kuchuy.
cosechar alverjas, quinua, cañigua, kiwicha	Kallchay.
cosechar tubérculos	Allay.
coser	Siray.
costa	Chala.
crecer de una vez	Progreso. Wiñariy.
crecer, desarrollarse	Puturiy.
crecer	Wiñay.
creer	Iñiy.
crespo	Kuti.
cría	Uña.
criar ganado	Uyway.
cristal, vidrio	Qispi.
criticar	Pinqay.
crudo	Chawa.
cruz	Chakana.
cruzar, atravesar	Chakatay.
cruzar	Chimpay.
cubo	Machina.
cucaracha	Pallaysu.
cucharon de madera	Wislla.
cuello, pescuezo	Kunka.
cuento, narración	Willakuy.
cuernos, asta	Waqra.
cuero	Qara.
